Empresa,Tipo,Año,Mes,No. Trabajadores,HHT,No. DP,No. NM,No. FAI,No. MTI,No. MWD,No. LTI,No. Fatalidad,No. Dias IncapacidadxAT,No. Cargados,No. Casos EG,No. Incapacidad EG,No. Casos EL
Bquilla,Contratista,2020,Ene,97.0,23036.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2020,Feb,118.0,20930.0,0,0,0,0,0,1,0,17,0,0,0,0
Bquilla,Contratista,2020,Mar,106.0,9810.0,0,0,0,0,0,0,0,2,0,0,0,0
Bquilla,Contratista,2020,Abr,44.0,1480.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2020,May,75.0,11376.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2020,Jun,66.0,8471.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2020,Jul,68.0,12456.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2020,Ago,75.0,35864.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2020,Sep,105.0,20970.0,0,0,0,0,0,1,0,4,0,0,0,0
Bquilla,Contratista,2020,Oct,115.0,21680.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2020,Nov,129.0,24747.0,0,0,0,0,0,1,0,3,0,0,0,0
Bquilla,Contratista,2020,Dic,120.0,22080.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,Ene,136.0,24112.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,Feb,191.0,30089.0,0,0,0,0,0,1,0,4,0,0,0,0
Bquilla,Contratista,2021,Mar,189.0,29993.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,Abr,129.0,26996.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,May,112.0,25633.0,0,0,1,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,Jun,127.0,27055.3,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,Jul,128.0,28113.0,0,3,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,Ago,140.0,29196.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,Sep,150.0,35552.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2021,Oct,188.0,35856.0,0,3,1,0,0,1,0,5,0,0,0,0
Bquilla,Contratista,2021,Nov,190.0,35078.0,0,0,0,0,0,0,0,10,0,0,0,0
Bquilla,Contratista,2021,Dic,202.0,35656.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Ene,185.0,29957.0,1,1,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Feb,187.0,32133.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Mar,159.0,30296.0,0,0,0,0,0,1,0,20,0,0,0,0
Bquilla,Contratista,2022,Abr,198.0,30072.7,0,0,1,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,May,207.0,34242.0,0,1,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Jun,189.0,32280.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Jul,182.0,26734.0,1,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Ago,263.0,23102.0,0,1,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Sep,248.0,37576.71,1,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Oct,228.0,38707.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2022,Nov,235.0,36121.0,0,0,1,0,0,1,0,5,0,0,0,0
Bquilla,Contratista,2022,Dic,238.0,38248.0,0,0,2,0,0,0,0,4,0,0,0,0
Bquilla,Contratista,2023,Ene,229.0,31843.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,Feb,226.0,19933.0,1,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,Mar,204.0,27473.0,0,1,0,0,0,0,0,0,0,3,3,0
Bquilla,Contratista,2023,Abr,216.0,27768.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,May,216.0,28293.0,0,0,0,0,0,0,0,0,0,1,1,0
Bquilla,Contratista,2023,Jun,189.0,22266.0,0,1,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,Jul,216.0,20242.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,Ago,223.0,25689.0,0,1,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,Sep,189.0,37490.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,Oct,167.0,20804.0,0,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,Nov,223.0,23158.0,1,0,0,0,0,0,0,0,0,0,0,0
Bquilla,Contratista,2023,Dic,244.0,46848.0,0,0,0,0,0,1,0,9,0,0,0,0
